episode,step,reward,dropped,drop_rate,completed,accepted
5,7,2.0,0,0.0,5,8
5,8,-0.5,0,0.0,5,9
5,9,-0.5,0,0.0,5,10
5,10,-4.0,1,0.09090909090909091,6,10
5,11,2.0,1,0.08333333333333333,7,11
5,12,-0.5,1,0.07692307692307693,7,12
5,13,3.5,1,0.07142857142857142,9,13
5,14,1.5,1,0.06666666666666667,10,14
5,15,1.5,1,0.0625,11,15
5,16,-0.5,1,0.058823529411764705,11,16
5,17,1.5,1,0.05555555555555555,12,17
5,18,-4.0,2,0.10526315789473684,13,17
5,19,-0.5,2,0.1,13,18
5,20,-4.0,3,0.14285714285714285,14,18
5,21,1.5,3,0.13636363636363635,15,19
5,22,-1.0,3,0.13043478260869565,15,20
5,23,-1.0,3,0.125,15,21
5,24,3.5,3,0.12,17,22
5,25,-1.0,3,0.11538461538461539,17,23
5,26,-2.0,4,0.14814814814814814,19,23
5,27,1.5,4,0.14285714285714285,20,24
5,28,1.5,4,0.13793103448275862,21,25
5,29,3.5,4,0.13333333333333333,23,26
5,30,2.0,4,0.12903225806451613,24,27
5,31,1.5,4,0.125,25,28
5,32,-0.5,4,0.12121212121212122,25,29
5,33,-6.0,5,0.14705882352941177,25,29
5,34,-1.0,5,0.14285714285714285,25,30
5,35,1.0,5,0.1388888888888889,26,31
5,36,-1.0,5,0.13513513513513514,26,32
5,37,-4.0,6,0.15789473684210525,27,32
5,38,3.5,6,0.15384615384615385,29,33
5,39,1.5,6,0.15,30,34
5,40,-6.0,7,0.17073170731707318,30,34
5,41,-1.0,7,0.16666666666666666,30,35
5,42,-4.0,8,0.18604651162790697,31,35
5,43,1.5,8,0.18181818181818182,32,36
5,44,3.5,8,0.17777777777777778,34,37
5,45,-6.0,9,0.1956521739130435,34,37
5,46,-0.5,9,0.19148936170212766,34,38
5,47,1.5,9,0.1875,35,39
5,48,-0.5,9,0.1836734693877551,35,40
5,49,1.5,9,0.18,36,41
6,0,0.5,0,0.0,0,1
6,1,0.0,0,0.0,0,2
